Nombre del Café,Descripción,Tipo de Producto,Tags,Vendor,Handle,Variante,Precio,SKU
Amarket - Filtro De Café Embudo Reutilizable Sin Papel Portátil,"<p class=""p1"">1. Filtro sin necesidad de papel, sin olor, más respetuoso con el medio ambiente: no hay necesidad de preocuparse de que el olor del papel de filtro afecte al sabor del café.</p>
<p class=""p1"">2. No se preocupe por quedarse sin filtro de papel para reducir el desperdicio de papel, respetuoso con el medio ambiente.</p>
<p class=""p1"">3. Resina ABS no tóxica, insípida, en línea con la industria farmacéutica, alimentaria y otros requisitos de salud y seguridad: buena resistencia al aceite, superficie lisa, fácil de limpiar.</p>
<p class=""p1"">4. El mango del filtro utiliza una estructura de doble capa de malla de filtro con una cafetera italiana profesional, que tiene un buen efecto de filtrado.</p>
<p class=""p1"">5. La capa interna del papel de filtro está tejida con alambre de metal ultrafino con alta densidad, que está aislado del café en polvo. La capa exterior de chapa de acero inoxidable engrosada está perforada por láser, proporcionando una capa adicional de protección.</p>
<p class=""p1"">6. Diseño Plegable: puedes llevarlo contigo. El material ABS se utiliza para la superficie de contacto interna con el café, con buena propiedad de autolimpieza.</p>",Filtros,"Accesorios, Filtros, Todo Accesorios, Todos",Amarket Gourmet,amarket-filtro-de-cafe-embudo-reutilizable-sin-papel-portatil,Default Title,11290,"7,10E+13"
Amor Perfecto - Café Barrica,"<p>Se utilizan barriles usados para la preparación de vino que dan ese sabor característico a madera y vino. Se usan 35 kg de café se usan por cada barril, se deja 15 días y en el transcurso se van girando cada 5 días para la homogeneización de café.</p>
<p>Características: </p>
<p>Region: Huila<br>Beneficio: Lavado</p>
<p>PERFIL DE CAFÉ<br>Sabor: Ciruela - Chocolate intenso<br>Aroma y fragancia: Intenso a cacao<br>Acidez: Media - Brillante<br>Cuerpo: Redondo<br>Sabor residual: Media a cacao<br>Dulzura: Especiado - Agradable a roble</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-barrica,Grano / 350,27990,MCMK00314
Amor Perfecto - Café Barrica,"<p>Se utilizan barriles usados para la preparación de vino que dan ese sabor característico a madera y vino. Se usan 35 kg de café se usan por cada barril, se deja 15 días y en el transcurso se van girando cada 5 días para la homogeneización de café.</p>
<p>Características: </p>
<p>Region: Huila<br>Beneficio: Lavado</p>
<p>PERFIL DE CAFÉ<br>Sabor: Ciruela - Chocolate intenso<br>Aroma y fragancia: Intenso a cacao<br>Acidez: Media - Brillante<br>Cuerpo: Redondo<br>Sabor residual: Media a cacao<br>Dulzura: Especiado - Agradable a roble</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-barrica,Molido / 350,27990,MCMK00315
Amor Perfecto - Café Descafeinado,"<p>¡Descubre el placer del café sin límites con nuestro café descafeinado de Nariño! Originario de las exuberantes tierras del Departamento de Nariño, Colombia, este café único combina las variedades Colombia, Caturra y Castillo para ofrecerte una experiencia de sabor incomparable. Tostado en Colombia con cuidado artesanal, nuestro café descafeinado te deleitará con sus notas deliciosas de frutos secos y chocolate amargo, sin comprometer el auténtico sabor del café. Disfruta de cada sorbo y vive la pasión por el café sin límites. ¡Haz que cada momento sea especial con nuestro café descafeinado de Nariño!</p>
<p> </p>
<p>Características: </p>
<p>PERFIL DE LA TAZA</p>
<p>Beneficio: Lavado</p>
<p>Sabor: Frutos Secos, Chocolate Amargo</p>
<p>Acidez: Cítrica frutal</p>
<p>Aroma: Chocolate, Frutal</p>
<p>Cuerpo: Redondo</p>",Café,"Cafe, Café en Grano, Café Molido, Descafeinado, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-descafeinado,Grano / 350,29690,MCMK00312
Amor Perfecto - Café Descafeinado,"<p>¡Descubre el placer del café sin límites con nuestro café descafeinado de Nariño! Originario de las exuberantes tierras del Departamento de Nariño, Colombia, este café único combina las variedades Colombia, Caturra y Castillo para ofrecerte una experiencia de sabor incomparable. Tostado en Colombia con cuidado artesanal, nuestro café descafeinado te deleitará con sus notas deliciosas de frutos secos y chocolate amargo, sin comprometer el auténtico sabor del café. Disfruta de cada sorbo y vive la pasión por el café sin límites. ¡Haz que cada momento sea especial con nuestro café descafeinado de Nariño!</p>
<p> </p>
<p>Características: </p>
<p>PERFIL DE LA TAZA</p>
<p>Beneficio: Lavado</p>
<p>Sabor: Frutos Secos, Chocolate Amargo</p>
<p>Acidez: Cítrica frutal</p>
<p>Aroma: Chocolate, Frutal</p>
<p>Cuerpo: Redondo</p>",Café,"Cafe, Café en Grano, Café Molido, Descafeinado, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-descafeinado,Molido / 350,29690,MCMK00313
Amor Perfecto - Café Espresso,"<p>Amor Perfecto nos trae este café ideal para espresso.</p>
<p>Características: </p>
<p>Con una intensidad alta, ideal para ese espresso por la mañana para comenzar tu día con un golpe de energía.</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-espresso,Grano / 500,16990,MCMK00320
Amor Perfecto - Café Espresso,"<p>Amor Perfecto nos trae este café ideal para espresso.</p>
<p>Características: </p>
<p>Con una intensidad alta, ideal para ese espresso por la mañana para comenzar tu día con un golpe de energía.</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-espresso,Grano / 250,8990,MCMK00367
Amor Perfecto - Café Espresso,"<p>Amor Perfecto nos trae este café ideal para espresso.</p>
<p>Características: </p>
<p>Con una intensidad alta, ideal para ese espresso por la mañana para comenzar tu día con un golpe de energía.</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-espresso,Molido / 500,16990,MCMK00321
Amor Perfecto - Café Espresso,"<p>Amor Perfecto nos trae este café ideal para espresso.</p>
<p>Características: </p>
<p>Con una intensidad alta, ideal para ese espresso por la mañana para comenzar tu día con un golpe de energía.</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-espresso,Molido / 250,8990,MCMK00368
Amor Perfecto - Café Frida Kahlo Astrid Medina,"<p>COLABORACIÓN FRIDA KAHLO. Honrando nuestras increíbles granjas propiedad de mujeres, Amor Perfecto se ha asociado con la artista de renombre mundial, Frida Kahlo.</p>
<p>Esta colección no solo presenta las icónicas obras maestras de Frida Kahlo, sino también los principios que tenemos cerca de nuestros corazones en Amor Perfect: Igualdad y Derechos de la Mujer<br>El café especial más galardonado de Colombia.</p>
<p>Nuestro café Astrid Medina fue galardonado con el premio Cup of Excellence, lo que lo convierte en un café reconocido en todo el mundo. Es el ejemplo perfecto de un gran café arábica colombiano.<br>Aroma y sabor luciosos. Astrid Medina está perfectamente equilibrada y naturalmente dulce. Rodéate de un aroma de deliciosas almendras y chocolate. Nuestro café de tueste medio tiene un cuerpo medio jugoso. Este café consiste en el equilibrio perfecto de sabores, incluyendo bayas rojas y mora<br>Café exótico de un solo origen: el estado de Tolima es el hogar de muchos de nuestros cafés 100% cultivados localmente y tostados. Con diferentes áreas de cultivo entre 1.780 y 2.050 msnm. La finca cuenta con condiciones excepcionales para los mejores cafés arábica lavados<br>Granja de alta altitud, tueste y empaque: a la mayoría de las compañías de café no les gusta admitir que el café es una fruta que puede estropearse si no se conserva adecuadamente. A diferencia de otros cafés que permanecen durante meses, Amor Perfecto se tuesta y envasa en la fuente solo unas semanas después de salir de la granja. Eso es lo que nos convierte en el café más fresco del mundo<br>Sin pesticidas y comercio justo: el comercio justo significa que Amor Perfecto funciona con un código estricto para garantizar que nuestro café ofrezca calidad y transparencia. La Federación Nacional de Cafeteros certifica cada uno de nuestros lotes de café antes de que se permita su venta.<br>Elaborado por los baristas del campeonato de Colombia. Empaquetado en una bolsa de 12 onzas, el café Astrid Medina está recién molido. En Amor Perfecto, solo proporcionamos granos de café de comercio justo<br>Métodos de preparación: Astrid Medina es un hermoso café lleno de sabor excepcional. Recomendamos utilizar el método de preparación de verter sobre para la mejor experiencia de beber café</p>
<p> </p>
<p>Características: </p>
<p>CAFICULTOR<br>Astrid Medina</p>
<p>Región: Tolima<br>Variedad: Caturra Castillo<br>Beneficio: Lavado</p>
<p>PERFIL DE CAFÉ</p>
<p>Sabor: Especiado a Canela - Limón<br>Aroma y fragancia: Almendra - Frutos secos<br>Acidez: Cítrica - Corta<br>Cuerpo: Medio - Jugoso</p>",Café,"Cafe, Café en Grano, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-frida-kahlo-astrid-medina,Grano / 350,27990,MCMK00305
Amor Perfecto - Café Frida Kahlo Astrid Medina,"<p>COLABORACIÓN FRIDA KAHLO. Honrando nuestras increíbles granjas propiedad de mujeres, Amor Perfecto se ha asociado con la artista de renombre mundial, Frida Kahlo.</p>
<p>Esta colección no solo presenta las icónicas obras maestras de Frida Kahlo, sino también los principios que tenemos cerca de nuestros corazones en Amor Perfect: Igualdad y Derechos de la Mujer<br>El café especial más galardonado de Colombia.</p>
<p>Nuestro café Astrid Medina fue galardonado con el premio Cup of Excellence, lo que lo convierte en un café reconocido en todo el mundo. Es el ejemplo perfecto de un gran café arábica colombiano.<br>Aroma y sabor luciosos. Astrid Medina está perfectamente equilibrada y naturalmente dulce. Rodéate de un aroma de deliciosas almendras y chocolate. Nuestro café de tueste medio tiene un cuerpo medio jugoso. Este café consiste en el equilibrio perfecto de sabores, incluyendo bayas rojas y mora<br>Café exótico de un solo origen: el estado de Tolima es el hogar de muchos de nuestros cafés 100% cultivados localmente y tostados. Con diferentes áreas de cultivo entre 1.780 y 2.050 msnm. La finca cuenta con condiciones excepcionales para los mejores cafés arábica lavados<br>Granja de alta altitud, tueste y empaque: a la mayoría de las compañías de café no les gusta admitir que el café es una fruta que puede estropearse si no se conserva adecuadamente. A diferencia de otros cafés que permanecen durante meses, Amor Perfecto se tuesta y envasa en la fuente solo unas semanas después de salir de la granja. Eso es lo que nos convierte en el café más fresco del mundo<br>Sin pesticidas y comercio justo: el comercio justo significa que Amor Perfecto funciona con un código estricto para garantizar que nuestro café ofrezca calidad y transparencia. La Federación Nacional de Cafeteros certifica cada uno de nuestros lotes de café antes de que se permita su venta.<br>Elaborado por los baristas del campeonato de Colombia. Empaquetado en una bolsa de 12 onzas, el café Astrid Medina está recién molido. En Amor Perfecto, solo proporcionamos granos de café de comercio justo<br>Métodos de preparación: Astrid Medina es un hermoso café lleno de sabor excepcional. Recomendamos utilizar el método de preparación de verter sobre para la mejor experiencia de beber café</p>
<p> </p>
<p>Características: </p>
<p>CAFICULTOR<br>Astrid Medina</p>
<p>Región: Tolima<br>Variedad: Caturra Castillo<br>Beneficio: Lavado</p>
<p>PERFIL DE CAFÉ</p>
<p>Sabor: Especiado a Canela - Limón<br>Aroma y fragancia: Almendra - Frutos secos<br>Acidez: Cítrica - Corta<br>Cuerpo: Medio - Jugoso</p>",Café,"Cafe, Café en Grano, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-frida-kahlo-astrid-medina,Molido / 350,25990,MCMK00369
Amor Perfecto - Café Frida Kahlo Luisa Guaragna,"<p>Luisa es hija de un inmigrante italiano, que se enamoró de la Sierra Nevada de Santa Marta y aplicó esta pasión al cultivo de cafés. La Finca San Judas Tadeo está ubicada en la vereda San Javier del Municipio de Ciénega a una altitud entre 1,550 y 1,600 msnm. La hermosa finca San Judas Tadeo comparte 20 hectáreas, de las cuales 8 hectáreas son cafetales de la variedad Castillo. Recientemente, ha comenzado a plantar plantas de la variedad Gesha. Las 12 hectáreas restantes son una Reserva Natural protegida que es la principal fuente de agua para la Ciénega de Santa Marta. La Sierra Nevada es un ecosistema especial en Colombia, ya que es una cadena montañosa alta independiente de la cordillera de los Andes con sus propios atributos especiales. Esto produce sabores muy especiales y distintos en sus cafés, diferentes del resto de Colombia. Cafés ricos de una sola cosecha al año que presentan sabores acentuados de chocolate y frutas y notas duraderas de azúcar morena.</p>
<p>Amor Perfecto ha desarrollado una larga relación con Luisa y su Finca San Judas Tadeo, trabajando con ella para desarrollar sus cafés, ahora con procesos naturales de pos cosecha. Ella es un pilar en la comunidad de cafeteros colombianos. Una increíble experiencia de café.</p>
<p> </p>
<p>Características: </p>
<p>PERFIL DE CAFÉ<br>Sabor: Canela-Tabaco-Nibs de Cacao<br>Aroma y fragancia: Almendra Tostada Albaricoque<br>Acidez: Leve - Cítrica - Delicada<br>Cuerpo: Lleno- Cremoso<br>Sabor residual: Prolongado-Dulce<br>Dulzura: Chocolate Intenso</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-frida-kahlo-luisa-guaragna,Grano / 350,27990,MCMK00302
Amor Perfecto - Café Frida Kahlo Luisa Guaragna,"<p>Luisa es hija de un inmigrante italiano, que se enamoró de la Sierra Nevada de Santa Marta y aplicó esta pasión al cultivo de cafés. La Finca San Judas Tadeo está ubicada en la vereda San Javier del Municipio de Ciénega a una altitud entre 1,550 y 1,600 msnm. La hermosa finca San Judas Tadeo comparte 20 hectáreas, de las cuales 8 hectáreas son cafetales de la variedad Castillo. Recientemente, ha comenzado a plantar plantas de la variedad Gesha. Las 12 hectáreas restantes son una Reserva Natural protegida que es la principal fuente de agua para la Ciénega de Santa Marta. La Sierra Nevada es un ecosistema especial en Colombia, ya que es una cadena montañosa alta independiente de la cordillera de los Andes con sus propios atributos especiales. Esto produce sabores muy especiales y distintos en sus cafés, diferentes del resto de Colombia. Cafés ricos de una sola cosecha al año que presentan sabores acentuados de chocolate y frutas y notas duraderas de azúcar morena.</p>
<p>Amor Perfecto ha desarrollado una larga relación con Luisa y su Finca San Judas Tadeo, trabajando con ella para desarrollar sus cafés, ahora con procesos naturales de pos cosecha. Ella es un pilar en la comunidad de cafeteros colombianos. Una increíble experiencia de café.</p>
<p> </p>
<p>Características: </p>
<p>PERFIL DE CAFÉ<br>Sabor: Canela-Tabaco-Nibs de Cacao<br>Aroma y fragancia: Almendra Tostada Albaricoque<br>Acidez: Leve - Cítrica - Delicada<br>Cuerpo: Lleno- Cremoso<br>Sabor residual: Prolongado-Dulce<br>Dulzura: Chocolate Intenso</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-frida-kahlo-luisa-guaragna,Molido / 350,27990,MCMK00303
Amor Perfecto - Café Huila,"<p>Esta historia de amor comenzó hace 25 años cuando el fundador de Amor Perfecto, Luis Fernando, descubrió su pasión por el café. Su búsqueda: llevar al mundo el café colombiano más fresco y de mejor sabor. Para apreciar verdaderamente Amor Perfecto, primero hay que entender el viaje de Luis desde el trabajo con los agricultores hasta ser él mismo un barista y dueño de un café para luego ser reconocido por su café con más de 20 premios internacionales.</p>
<p> </p>
<p>Características: </p>
<p>Región: Huila<br>Beneficio: Lavado</p>
<p><br>PERFIL DE CAFÉ<br>Sabor: Cereza - Mora<br>Aroma y fragancia: Caramelo - Limonaria<br>Acidez: Frutos Rojos<br>Cuerpo: Medio: Cremoso</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-huila,Grano / 350,21990,MCMK00310
Amor Perfecto - Café Huila,"<p>Esta historia de amor comenzó hace 25 años cuando el fundador de Amor Perfecto, Luis Fernando, descubrió su pasión por el café. Su búsqueda: llevar al mundo el café colombiano más fresco y de mejor sabor. Para apreciar verdaderamente Amor Perfecto, primero hay que entender el viaje de Luis desde el trabajo con los agricultores hasta ser él mismo un barista y dueño de un café para luego ser reconocido por su café con más de 20 premios internacionales.</p>
<p> </p>
<p>Características: </p>
<p>Región: Huila<br>Beneficio: Lavado</p>
<p><br>PERFIL DE CAFÉ<br>Sabor: Cereza - Mora<br>Aroma y fragancia: Caramelo - Limonaria<br>Acidez: Frutos Rojos<br>Cuerpo: Medio: Cremoso</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-huila,Molido / 350,21990,MCMK00311
Amor Perfecto - Café Insignia,"<p>Este café proviene del sur del país, y sus sabores cítricos y frutales se originan por la diversidad de los suelos volcánicos y alturas montañosas del municipio La Unión, Nariño. Es un café con certificación orgánica, 100% colombiano, arábigo y especial.</p><p> </p><p>Características: </p><p>Beneficio: Lavado</p><p>Sabor: Dulce, Notas Cítricas, Frutales.</p><p>Acidez: Media, Cítrica.</p><p>Aroma: Frutos rojos, Chocolate.</p><p>Cuerpo: Medio, Cremoso.</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-insignia,Grano / 500,27990,MCMK00306
Amor Perfecto - Café Insignia,"<p>Este café proviene del sur del país, y sus sabores cítricos y frutales se originan por la diversidad de los suelos volcánicos y alturas montañosas del municipio La Unión, Nariño. Es un café con certificación orgánica, 100% colombiano, arábigo y especial.</p><p> </p><p>Características: </p><p>Beneficio: Lavado</p><p>Sabor: Dulce, Notas Cítricas, Frutales.</p><p>Acidez: Media, Cítrica.</p><p>Aroma: Frutos rojos, Chocolate.</p><p>Cuerpo: Medio, Cremoso.</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-insignia,Grano / 350,17490,MCMK00323
Amor Perfecto - Café Insignia,"<p>Este café proviene del sur del país, y sus sabores cítricos y frutales se originan por la diversidad de los suelos volcánicos y alturas montañosas del municipio La Unión, Nariño. Es un café con certificación orgánica, 100% colombiano, arábigo y especial.</p><p> </p><p>Características: </p><p>Beneficio: Lavado</p><p>Sabor: Dulce, Notas Cítricas, Frutales.</p><p>Acidez: Media, Cítrica.</p><p>Aroma: Frutos rojos, Chocolate.</p><p>Cuerpo: Medio, Cremoso.</p>",Café,"Cafe, Café en Grano, Café Molido, Con Cafeína, Origen, Todo café, Todos",Amarket Gourmet,amor-perfecto-cafe-insignia,Grano / 250,14990,MCMK00308
